Suggestions for improvement,cluster
"Công việc chán, dự án cũ kỹ, làm theo kiểu maintain không tiến bộ. Sếp không biết quản lý dự án, làm không hiệu quả, quản lý kiểu micro management, không có kỹ năng lãnh đạo.",1
"Đãi ngộ quá thấp so với mặt bằng chung.
Nhiều dự án cũ vô làm khá nhàm chán, code legacy không documentation không test làm cho việc dev và debug rất phiền phức.
Ko có định hướng training rõ ràng.
Bên quản lý hay bày ra những process rườm rà làm mất thời gian.
Tùy vào manager sẽ có người rộng rãi với OT có người sẽ ko chấp nhận OT vì những lý do ko rõ ràng.",0
Chất lượng dự án về mặt kỹ thuật cần có công nghệ mới hơn.,0
"Việc ít, quy trình kém, nhiều người chuyên môn chưa cao",0
"- Lương average
- Quy trình bộ máy nhiều lúc còn cồng kềnh",0
"Quá nhiều process, nghỉ thôi cũng phải xin đủ chữ ký của các phòng ban
OT là do bạn, không phải do sếp với đồng nghiệp
Tăng lương cho có chứ bèo.",0
"1. Cải thiện chế độ OT để nhân viên cảm thấy không bị ép task.
2. Tối ưu khoảng process để nhân viên có thêm nhiều thời gian để làm software
OT rất khó xin, đôi khi task về rất nhiều nhưng DM vẫn k cho OT. Đôi khi phải thức đêm chạy task như không được hỗ trợ thêm gì.",0
"luong kha thap, lam 2 3 proj 1 luc, ko phai OT nhung lam chua xong thi phai tu OT :)
Phai tu OT neu chua lam xong viec.ko dc tra luong OT.",0
"Dự án cần phát triển con người nhiều hơn, công nghệ hơi cũ ở một số dự án",0
"Lương thấp, công việc đặc thù, tăng lương chậm. Ko dành cho ai thích phát triển về hướng Technical",0
Nên suy nghĩ kĩ nếu có tính tự học cao thì nên vào để rèn luyện do có time nhiều chứ công việc không có gì phức tạp cả.,0
"Quy trình khá nhiều document, nên cẩn thận với bánh vẽ.",3
"Combine working from home and office, good enviroment for who want take long term stragic.",3
Quy trình cồng kềnh do cty to bự. Cơ hội phát triển không biết là khó không nhưng mình thì không thấy được.,0
"- Làm việc dưới quyền Ấn nên rất mệt, dự án cùi bắp nó không thèm làm mới đẩy về VN. Chưa kể làm việc với Ấn thực sự khổ, toàn bị đâm sau lưng. Sang năm RBVH chuyển sang trực thuộc quyền của Ấn nên tự hiểu nhé.
- Review hằng năm có lệ thôi chứ tăng lương có khung sẵn hết rồi.
- Công nghệ lạc hậu, mấy cái xịn xịn thì Ấn giành hết rồi.
- Department head thì mắc lỗi micro management rất nghiêm trọng, bắt viết daily report. Report gì mà làm cho khách hàng xong còn phải làm cho sếp.
- Ban hành quyết định thì không hỏi ý nhân viên, toàn làm chuyện tào lao như bắt ép học bằng cấp hoặc flexible working place mà phải book chỗ, xàm.",1
"các project còn khá chán, ít challenge, xài tool nội bộ nên bị lạc hậu so với bên ngoài",0
"- Lương cần cải thiện, nhân viên đóng góp rất nhiều để các sản phẩm ra đúng hạn, nhưng khi tiền customer trả về department lại chả thấy bonus đâu
- Các task chỉ có một chiều và vẫn chưa khoáy sâu vào vùng kiến thức cần nắm
- Vẫn còn số ít leader hách dịch
Rất khó để có được OT, thủ tục xin duyệt từ nhiều phía, trừ khi plan quá gấp mới có",0
"Công ty hàng đầu nên cũng không có điều gì phải cải thiện, hệ thống công ty luôn tự cải thiện mình.",1
"luong thuong, training plan can thuc te, khong nen chi dua tren kpi",3
"Exp gain quá ít(tùy project), làm tầm 2 năm đổ lên mà không tự học riêng nhiều là lạc hậu, khó đi đâu được
Khó OT, và OT không lương, không xin được OT,
Đủ 50 ký tự",0
"Công ty to nên chính trị rắc rối là đương nhiên
Sếp Việt & Sếp Ấn lộn xộn
Lương trung bình, tăng nhỏ giọt
Dự án cũ, thường bên Ấn k nhận sẽ đẩy về Bosch Việt Nam",0
"Cần cải thiện range lương và project cty.
Ko có OT mặc dù công việc đôi khi yêu cầu OT",0
"Quá nhiều process, làm 1 task mà nản thật sự. Phần coding chỉ chiếm chắc 10 - 20%, còn lại là làm process. Sinh ra quá nhiều process để làm mệt mỏi nhân viên ư ???
Lương quá thấp chẳng xứng đáng công sức bỏ ra.
Là dưới đáy tận cùng của xã hội, làm đầy tớ osin cho Bosch Ấn. Tool nội bộ, làm lâu lụt nghề, ra thế giới bên ngoài ú ớ thấy mình lạc hậu quá.
Các bạn mới ra trường vào làm cho biết thế nào là 1 công ty bòn rút thanh xuân, rồi phắn lẹ sau 1 - 2 năm là vừa. Hoặc các anh senior cao tuổi, dễ deal lương cao để vào đây dưỡng già.
Lương thấp quá sao có động lực làm việc ta ???",0
"- Review performance theo kiểu cho có lệ, chứ cào bằng như nhau nếu bạn không phải là giỏi xuất sắc hay tệ quá tệ.
- Scope of project 1 đằng nhưng khi vào làm thì là 1 nẻo, và lỡ vào rồi thì ráng đeo 2 năm mới được thoát dù công việc có phù hợp hay không.
- Phục thuộc quá nhiều vào bên Ấn nên không tự quyết được gì cả.",1
"Projects nên hấp dẫn hơn
Lương ở mức trung bình
High manager nên cân nhắc kỹ trước khi dc promote",0
Khi có dự án các thành viên nên giao tiếp tốt hơn.,0
Làm gì cũng thông qua quá nhiều process. Một người phải handle quá nhiều project đôi khi bị quá tải.,0
"Lương cho junior quá thấp so với thị trường, sếp đánh giá performance chủ quan, cào bằng
ko có nhiều ot, nếu có thì tiền ot tương đối trễ, sếp approve ot lâu",0
"OT ko trả tiền là 1 bất cập, sếp đấu đá tranh giành nhau làm ảnh hưởng lớn đến nhân viên, hầu hết đều chạy việc vặt cho ấn độ, dự án ko có thì mới mẻ thách thức, ko dc training nhiều vào dự án
cty ko trả OT, hầu hết là làm ngoài h nhưng ko dc trả tiền",0
"luong thap và k xung dang voi nhung gi bỏ ra
thich họp voi COCC",3
"Trân trọng hơn những người trẻ, giỏi, cầu tiến.
Cần thêm nhiều dự án hay và tốt hơn.",1
"- Cần xem lại các chính sách đãi ngộ cho nhân viên sao cho phù hợp với công việc
- Cần nắm rõ khả năng của nhân viên để có lộ trình phát triển phù hợp, nhiều nhân viên có tố chất nhưng quản lí chưa đủ trình để hiểu
Rất khó để xin OT trong khi dự án thì liên tục đưa về",1
"- salary low
- mythologies just use inside bosch so it can be use outside",3
"Cần quan tâm nhân viên nhiều hơn, giao việc không quan tâm nhân viên có đang nhiều task hay không",1
"Cần cải thiện về process, nhiều process quá phiền phức gây khó chịu cho nhân viên",2
Mình ms vô nên cũng ko bk nhiều về mấy cái darkside này,0
Mỗi team chỉ chuyên sâu vào những phần nhỏ của sản phẩm. Dự án lặp lại nhiều nên hơi chán.,0
"Cũng lại tùy team. Vấn đề chung thì mình nghĩ lương không cao so với mặt bằng chung và tiến trình tăng lương cũng hơi chậm
OT phải đăng ký lằng nhằng, không dăng ký thì không có tiền",0
nên hạn chế dùng các kỳ onsite/học việc để làm hợp đồng ràng buộc nhân viên,0
"Công nghệ không mới, lương ít cạnh tranh, học hỏi từ dự án không nhiều",0
Làm việc hơi trễ nên về cũng trễ. công việc không có nhiều thú vị,0
"công ty outsource chủ yếu phụ thuộc vào India, hy vọng sẽ có nhiều dự án product hơn nữa",1
"Toàn công nghệ cũ, phân cấp quá nhiều, phụ thuốc Ấn Độ 100% nên hầu như vào tech ko tăng dc chút nào.
OT cũng ko nhiều, ko ai bắt bạn OT hết, vì OT ko lương.",0
"Nên có sự bảo bọc cho nhân viên ở Việt Nam hơn vì đôi lúc công ty mẹ hơi ép
nhiều lúc dự án hơi gấp dẫn đến lúc nhàn rỗi lúc thì OT sấp mặt",0
"It's base on team that some people are so impolite. Because the company is seperated to many levels so benefits between departments also different way too far.
Some departments will now pay you OT allowance but meal tickets instead, each of them worths 20k VND.",3
Chưa nghĩ ra. Có thể là thêm catin bán đồ ăn trưa cho nhân viên.,2
"Các dự án án cũ và khách hàng khó cần phải thêm tỉ lệ compensation cao để lương cao hơn các dự án mới và khách hàng dễ, tạo sự công bằng cho các dự án. Không thì tỉ lệ nghỉ việc cứ cao như hiện tại.
Nhiều dự án cũ, khách hàng khó làm team áp lực mà sếp lại không coi trọng dự án nên lương lại thấp",0
"Chỉ cần cải thiện tư duy của cấp lãnh đạo thôi :v Đây là nguyên nhân cốt lõi dẫn đến sự xuống cấp không phanh của cty trong 2 3 năm gần đây =)))) Giải quyết dc nó thì mấy vấn đề khác tự khắc giải quyết dc
Chính sách không rõ ràng, có cũng như không, thủ tục xin OT phiền phức, đa phần là bị cấp trên ém :)))))",1
"Hạn chế họp nhiều quá mất thời gian, sếp bảo vệ nhân viên nhiều hơn
OT khó đươc duyệt tiền phụ cấp.",0
"Chất lượng công việc chỉ tạm ổn, lương không cao .
Chế độ OT kém, ko có nhiều benifit khi OT .",1
"Lương thấp, tăng chậm. Thích hợp người có kinh nghiệm vào dưỡng già, sẽ deal được lương cao
OT muốn có lương phải raise mà raise thì bao giờ đc approve",0
"Sếp không có chuyên môn, khả năng lấy dự án kéo công ty ngày 1 đi xuống",0
"chưa biết,nhưng mình intern thấy giới hạn dụng lượng mạng nên hơi k thích với phải xài hệ thống riếng của bosch nên hơi k thích
ko đc làm bù vào T7 cn,người về sớm người về trễ,làm khá nhàn",0
"- Đa số dự án internal của tập đoàn.
- Làm việc chung với Ấn ( hên xui có thể gặp người không good lắm).
- Phân hóa công việc cao, khó có cơ hội học hỏi nhiều đa dạng kiến thức.
- Lương tăng chậm ( dễ hiểu vì việc không có gì quá áp lực và nặng nhọc)",0
"- Đa số dự án internal của tập đoàn.
- Làm việc chung với Ấn ( hên xui có thể gặp người không good lắm).
- Phân hóa công việc cao, khó có cơ hội học hỏi nhiều đa dạng kiến thức.
- Lương tăng chậm ( dễ hiểu vì việc không có gì quá áp lực và nặng nhọc)",0
"Sản phẩm lớn nên mỗi vị trí kỹ thuật gần như chỉ tương tác với 1 góc nhỏ sản phẩm
Sử dụng internal tool quá nhiều dễ làm mất đi kỹ năng, phải biết cách self-study",0
"Ít học hỏi được nhiều
Requirement same same nhau, hiếm được làm một số cái lạ
Đa số kiểm soát bới code generate tool nên trình khó lên
Lương tăng chậm, đánh giá chung chung.
Làm lâu dễ bị tụt hậu công nghệ.",0
"Quản lý giờ làm việc hơi gắt, không đề cao hiệu quả bằng.",0
Dự án không nhiều hấp dẫn. Công nghệ hơi cũ. Review lương khá thấp.,0
"Bạn phải ở nhà tự học code, lên mạng học thêm chứ các task trong công ty không đụng với dev code nhiều ( tuỳ team)
Không có tiền ot nha ( thiệt ra là có mà phải được approve đồ tùm lum phức tạp)",0
"Công việc ít thú vị, quá ổn định cũng là một điều bất lợi",1
"Công việc ít thú vị, quá ổn định cũng là một điều bất lợi",1
Chưa thấy có gì là không thích cả vì mới vào làm cho công ty,1
"Lương thấp.
Ít đãi ngộ cho nhân viên lâu năm.
Không quan tâm tới core member.
Cty phần lớn không có OT. 1 tháng OT đc 2 hoặc 3 ngày maximum. 1 năm đổ lại đây mới có chính sách trả lương OT.",1
